"iteration","elbo"
1,-436.193280924538
2,-399.46324255019
3,-395.916483564186
4,-394.981674446337
5,-394.528749674862
6,-394.266283626157
7,-394.100418280723
8,-393.988913486011
9,-393.910325204647
10,-393.852831914588
11,-393.809482987473
12,-393.775974351517
13,-393.749524862879
14,-393.728272302756
15,-393.710931486133
16,-393.696592108227
17,-393.684594666813
18,-393.67445180236
19,-393.665796999966
20,-393.65835028958
21,-393.651894797162
22,-393.646260392377
23,-393.641312079324
24,-393.636941620048
25,-393.633061400953
26,-393.62959988071
27,-393.626498169978
28,-393.623707432122
29,-393.621186887089
30,-393.618902263455
31,-393.616824587179
32,-393.614929225787
33,-393.613195128184
34,-393.611604215609
35,-393.610140890279
36,-393.60879163643
37,-393.607544694375
38,-393.606389792703
39,-393.605317927019
40,-393.604321176228
41,-393.603392549208
42,-393.60252585629
43,-393.601715601029
44,-393.600956888691
45,-393.600245348564
46,-393.599577067755
47,-393.598948534563
48,-393.598356589885
49,-393.597798385372
50,-393.597271347267
51,-393.5967731451
52,-393.596301664443
53,-393.595854983209
54,-393.595431350913
55,-393.595029170512
56,-393.594646982457
57,-393.59428345064
58,-393.593937350019
59,-393.593607555643
60,-393.593293032942
61,-393.592992829101
62,-393.592706065381
63,-393.592431930266
64,-393.592169673351
65,-393.591918599865
66,-393.591678065758
67,-393.5914474733
68,-393.591226267105
69,-393.59101393056
70,-393.5908099826
71,-393.590613974793
72,-393.590425488696
73,-393.590244133466
74,-393.590069543689
75,-393.589901377401
76,-393.589739314294
77,-393.58958305408
78,-393.589432314996
79,-393.589286832432
80,-393.589146357692
81,-393.589010656848
82,-393.588879509685
83,-393.588752708749
84,-393.588630058454
85,-393.588511374276
86,-393.588396481999
87,-393.588285217033
88,-393.588177423766
89,-393.588072954993
90,-393.587971671353
91,-393.587873440845
92,-393.587778138351
93,-393.587685645216
94,-393.587595848836
95,-393.587508642298
96,-393.587423924028
97,-393.587341597479
98,-393.587261570821
99,-393.587183756677
100,-393.587108071855
101,-393.58703443711
102,-393.586962776922
103,-393.58689301928
104,-393.586825095495
